year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
2015 002 01 02 18 20 00  63587442000000.0     32     -13486.679     -23241.770       6628.294     17.802      6.308    -54.407      1.093      0.680      0.597        3.33      -3.81      -7.29      11.25     397.80     626.00    -497.00     129.00     -31.00     -49.33      -2.88     -45.96     -13.22      -1.39
2015 002 01 02 18 25 00  63587442300000.0     70     -14193.571     -23212.250       5498.674     13.169      7.194    -54.585      1.241      0.154      0.333        3.23      -2.61      -8.00      10.91     399.50     619.00    -479.00     140.00     -30.00     -48.25      -3.18     -46.30     -13.31      -1.41
2015 002 01 02 18 30 00  63587442600000.0     72     -14958.768     -23137.332       4235.444     10.674      4.224    -53.653      0.454      1.844      0.583        3.26      -3.26      -7.81      10.33     397.80     623.00    -464.00     159.00     -31.00     -48.31      -3.09     -46.64     -13.40      -1.42
2015 002 01 02 18 35 00  63587442900000.0     73     -15715.764     -23014.240       2940.058     12.955     -0.779    -54.280      0.880      1.229      0.645        3.71      -4.07      -7.62       9.46     394.20     557.00    -413.00     143.00     -31.00     -47.09      -2.99     -46.98     -13.48      -1.44
2015 002 01 02 18 40 00  63587443200000.0     73     -16452.277     -22843.617       1632.709     14.744     -4.225    -55.769      0.371      0.890      0.323        3.16      -3.53      -8.18       9.27     394.50     520.00    -386.00     134.00     -33.00     -48.50      -3.21     -47.32     -13.55      -1.45
2015 002 01 02 18 45 00  63587443500000.0     72     -17157.484     -22628.865        333.760     14.837     -5.642    -58.198      0.164      0.569      1.098        3.74      -3.52      -8.11       8.41     392.80     621.00    -477.00     143.00     -34.00     -48.16      -3.17     -47.66     -13.61      -1.47
2015 002 01 02 18 50 00  63587443800000.0     73     -17835.885     -22370.023       -963.335     14.332     -6.276    -62.170      0.205      0.227      1.171        3.71      -3.72      -7.91       8.10     390.40     698.00    -549.00     149.00     -34.00     -47.63      -3.08     -48.00     -13.67      -1.48
2015 002 01 02 18 55 00  63587444100000.0     73     -18491.576     -22066.408      -2265.208     12.752     -7.193    -65.852      0.422      0.901      0.892        3.78      -3.68      -7.72       8.54     391.00     623.00    -489.00     135.00     -35.00     -49.00      -3.01     -48.34     -13.71      -1.50
2015 002 01 02 19 00 00  63587444400000.0     72     -19115.289     -21723.668      -3551.876     13.319    -10.191    -68.699      0.529      0.870      0.730        3.65      -3.57      -7.68       8.63     390.30     543.00    -419.00     124.00     -34.00     -48.28      -2.99     -48.68     -13.75      -1.52
2015 002 01 02 19 05 00  63587444700000.0     73     -19711.387     -21341.322      -4830.240     14.363    -13.477    -71.069      0.869      1.032      1.501        3.53      -3.68      -7.56       9.33     389.60     632.00    -487.00     145.00     -34.00     -49.11      -2.94     -49.02     -13.79      -1.53
2015 002 01 02 19 10 00  63587445000000.0     73     -20283.777     -20918.170      -6107.179     17.716    -14.645    -74.708      0.888      0.692      1.740        3.15      -3.79      -7.64       8.88     388.30     722.00    -590.00     132.00     -34.00     -48.48      -2.96     -49.35     -13.81      -1.55
2015 002 01 02 19 15 00  63587445300000.0     72     -20824.695     -20461.729      -7363.472     19.116    -12.381    -79.048      0.200      0.364      0.814        2.96      -1.97      -7.79       9.79     386.30     841.00    -702.00     138.00     -34.00     -49.41      -3.00     -49.69     -13.84      -1.57
2015 002 01 02 19 20 00  63587445600000.0     73     -21338.297     -19970.900      -8606.313     18.143    -14.041    -86.284      0.972      1.794      2.734        3.03      -2.23      -7.92       9.79     386.40     815.00    -679.00     136.00     -34.00     -49.41      -3.05     -50.03     -13.86      -1.59
2015 002 01 02 19 25 00  63587445900000.0     73     -21828.215     -19443.889      -9842.743     12.598    -23.026    -94.154      1.808      3.383      2.536        2.17      -2.89      -7.70      10.51     388.10     852.00    -693.00     159.00     -36.00     -51.91      -2.97     -50.36     -13.87      -1.61
2015 002 01 02 19 30 00  63587446200000.0     72     -22288.117     -18889.709     -11054.602     12.350    -32.344    -99.936      2.792      5.895      1.638        2.06      -3.15      -7.43      11.13     382.20     807.00    -636.00     171.00     -36.00     -52.24      -2.83     -50.70     -13.88      -1.62
2015 002 01 02 19 35 00  63587446500000.0     73     -22721.826     -18306.563     -12249.238     17.784    -51.704    -95.985      1.104      4.044      1.018        2.56      -2.36      -7.57      11.74     383.60     697.00    -522.00     176.00     -35.00     -52.15      -2.89     -51.03     -13.88      -1.64
2015 002 01 02 19 40 00  63587446800000.0     72     -23129.938     -17696.373     -13425.769     13.768    -58.783    -92.707      1.840      1.274      1.361        2.07      -2.66      -7.18      12.60     380.20     684.00    -510.00     174.00     -36.00     -53.64      -2.72     -51.36     -13.87      -1.66
2015 002 01 02 19 45 00  63587447100000.0     73     -23512.914     -17060.758     -14583.284      5.798    -72.246    -93.457      4.039      4.017      1.178        2.46      -1.91      -7.07      13.75     381.60     724.00    -535.00     190.00     -36.00     -54.80      -2.69     -51.70     -13.85      -1.68
2015 002 01 02 19 50 00  63587447400000.0     73     -23873.803     -16396.914     -15728.932      0.674    -59.102    -77.895      5.010      7.251      4.745        2.57      -1.06      -6.90      14.80     382.40     682.00    -508.00     173.00     -36.00     -55.85      -2.62     -52.03     -13.83      -1.69
2015 002 01 02 19 55 00  63587447700000.0     72     -24208.293     -15715.580     -16846.471    -12.817    -61.844    -82.437      2.647      4.869      5.030        2.28      -1.18      -7.17      14.44     384.00     652.00    -484.00     168.00     -36.00     -55.63      -2.74     -52.36     -13.80      -1.71
2015 002 01 02 20 00 00  63587448000000.0     73     -24519.523     -15013.868     -17943.242    -21.804    -58.497    -79.608      1.901      1.040      1.131        2.72      -0.46      -7.69      12.50     384.10     694.00    -511.00     183.00     -37.00     -54.57      -2.94     -52.69     -13.76      -1.72
2015 002 01 02 20 05 00  63587448300000.0     73     -24810.146     -14288.358     -19026.334    -24.411    -57.543    -77.219      1.389      2.209      1.569        2.72       0.03      -7.60      12.47     385.10     718.00    -565.00     153.00     -40.00     -57.01      -2.91     -53.02     -13.71      -1.73
2015 002 01 02 20 10 00  63587448600000.0     72     -25076.850     -13550.524     -20080.621    -23.345    -59.025    -76.523      4.366      3.647      7.896        2.90      -1.13      -7.50      11.91     384.10     656.00    -523.00     134.00     -41.00     -57.16      -2.86     -53.35     -13.64      -1.74
2015 002 01 02 20 15 00  63587448900000.0     73     -25322.316     -12796.830     -21113.375    -27.963    -50.056    -71.919      1.575      2.430      6.463        2.78      -3.06      -5.81      13.39     383.10     608.00    -445.00     163.00     -43.00     -60.17      -2.21     -53.68     -13.56      -1.75
2015 002 01 02 20 20 00  63587449200000.0     73     -25548.785     -12023.389     -22131.461    -33.086    -42.044    -69.938      2.915      4.594      7.476        2.46      -2.53      -6.13      14.30     381.70     696.00    -543.00     153.00     -41.00     -59.31      -2.33     -54.00     -13.46      -1.76
2015 002 01 02 20 25 00  63587449500000.0     72     -25753.836     -11242.130     -23120.895    -31.895    -20.874    -39.407      3.811      8.397      9.331        2.78      -1.68      -6.58      14.70     380.60     673.00    -507.00     166.00     -41.00     -59.63      -2.49     -54.32     -13.35      -1.76
2015 002 01 02 20 30 00  63587449800000.0     73     -25939.688     -10449.024     -24088.709    -37.876    -30.298    -59.162      4.077      2.422      3.266        3.11      -1.46      -6.50      14.78     381.90     647.00    -507.00     140.00     -42.00     -60.59      -2.47     -54.64     -13.23      -1.76
2015 002 01 02 20 35 00  63587450100000.0     73     -26108.158      -9639.740     -25041.518    -39.367    -29.408    -65.591      1.424      3.847      2.237        3.15      -0.45      -6.15      15.47     380.50     755.00    -611.00     143.00     -42.00     -61.09      -2.33     -54.96     -13.08      -1.77
2015 002 01 02 20 40 00  63587450400000.0     72     -26257.594      -8826.535     -25966.414    -43.146    -27.819    -70.995      3.100      8.357      2.905        3.49      -1.35      -6.07      15.08     380.40     710.00    -558.00     153.00     -41.00     -59.94      -2.29     -55.27     -12.92      -1.76
2015 002 01 02 20 45 00  63587450700000.0     73     -26389.791      -8004.967     -26870.133    -43.756    -36.903    -69.874      1.801      5.315      2.327        3.11      -1.46      -6.12      14.93     380.60     664.00    -526.00     139.00     -42.00     -60.65      -2.32     -55.57     -12.75      -1.76
2015 002 01 02 20 50 00  63587451000000.0     73     -26506.174      -7170.342     -27759.020    -48.337    -17.012    -65.123      1.409      4.618      1.075        3.71      -1.60      -5.93      15.29     382.50     620.00    -482.00     139.00     -43.00     -61.92      -2.26     -55.87     -12.55      -1.76
2015 002 01 02 20 55 00  63587451300000.0     72     -26605.742      -6335.101     -28621.133    -48.232    -16.778    -68.350      1.027      3.433      2.503        3.74      -1.24      -5.91      15.68     379.70     684.00    -532.00     152.00     -42.00     -61.24      -2.23     -56.17     -12.34      -1.76
2015 002 01 02 21 00 00  63587451600000.0     73     -26689.885      -5494.461     -29462.887    -47.885    -19.929    -67.068      1.863      4.319      4.611        3.98      -1.20      -5.96      15.60     382.60     676.00    -523.00     153.00     -41.00     -60.59      -2.27     -56.46     -12.12      -1.75
2015 002 01 02 21 05 00  63587451900000.0     73     -26759.652      -4643.491     -30290.273    -47.593    -18.591    -62.872      2.479      5.234      3.413        4.11      -1.06      -5.11      16.86     381.50     608.00    -448.00     160.00     -41.00     -61.61      -1.94     -56.74     -11.87      -1.75
