year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
2000 003 01 03 06 15 02  63114099302000.0      1      63202.305      11786.721       7326.880    -12.700      2.600     31.800      0.000      0.000      0.000       -3.18       2.36      -0.33       2.21     602.42     125.01     -58.98      66.03     -18.01     -30.91      -0.20     -29.80       0.60      -0.08
2000 003 01 03 06 30 01  63114100201000.0      1      62628.898      13060.960       7072.032     -6.100      1.900     29.700      0.000      0.000      0.000       -3.05       1.83      -2.32       2.37     603.42      91.03     -44.00      47.03     -21.00     -33.90      -1.40     -29.70       0.72      -0.07
2000 003 01 03 07 00 02  63114102002000.0      1      59570.723      19304.736       5479.232    -10.500      1.900     28.100      0.000      0.000      0.000       -3.57       1.96      -1.30       2.19     595.77     244.41    -210.45      33.96     -19.00     -31.38      -0.77     -29.46       1.00      -0.07
2000 003 01 03 07 15 03  63114102903000.0      1      58487.621      21343.520       4842.112     -7.000      2.700     27.800      0.000      0.000      0.000       -2.74       2.90      -0.03       2.06     601.81     228.89    -177.71      51.18     -18.00     -30.27      -0.02     -29.33       1.16      -0.08
2000 003 01 03 07 30 03  63114103803000.0      1      57085.953      23700.865       4013.856     -4.800      5.300     26.000      0.000      0.000      0.000       -0.23       4.56      -0.33       2.16     617.64     378.55    -287.13      91.42     -16.98     -30.27      -0.20     -29.19       1.33      -0.08
2000 003 01 03 07 45 03  63114104703000.0      1      55620.574      26058.209       3249.312     -2.600      7.400     22.600      0.000      0.000      0.000       -2.17       3.71      -1.40       2.23     601.30     288.75    -249.82      39.92     -15.00     -28.50      -0.84     -29.06       1.50      -0.08
2000 003 01 03 08 00 03  63114105603000.0      1      54027.773      28288.129       2357.344     -5.300     12.200     20.700      0.000      0.000      0.000       -3.44       0.23      -2.37       2.38     590.97     215.95    -171.81      43.14     -14.00     -27.95      -1.40     -28.94       1.66      -0.08
2000 003 01 03 08 15 03  63114106503000.0      1      52371.266      30581.762       1529.088     -6.000     10.800     19.400      0.000      0.000      0.000       -3.77      -0.77      -1.69       2.44     587.28     241.35    -168.52      72.83     -14.00     -28.04      -0.99     -28.83       1.80      -0.08
2000 003 01 03 08 30 03  63114107403000.0      1      50651.039      32747.969        637.120     -8.200      8.400     16.100      0.000      0.000      0.000       -3.56      -1.35      -2.03       2.30     591.10     337.96    -286.01      51.95     -15.00     -28.49      -1.20     -28.72       1.92      -0.08
2000 003 01 03 08 45 03  63114108303000.0      1      48867.105      34850.465       -191.136    -11.200     10.500     17.600      0.000      0.000      0.000       -3.52      -1.36      -1.40       2.27     595.75     293.58    -256.28      37.30     -15.01     -28.50      -0.83     -28.60       2.01      -0.07
2000 003 01 03 09 00 03  63114109203000.0      1      47019.457      36889.250      -1083.104     -6.600     10.500     15.900      0.000      0.000      0.000       -3.60       1.02      -1.82       2.25     592.41     306.17    -255.95      50.23     -17.00     -29.94      -1.08     -28.49       2.08      -0.08
2000 003 01 03 09 15 03  63114110103000.0      1      45108.098      38928.035      -1975.072     -6.600     10.300     12.500      0.000      0.000      0.000       -3.88       1.65      -0.91       2.17     589.51     367.92    -282.17      85.76     -17.01     -29.59      -0.54     -28.38       2.13      -0.08
2000 003 01 03 09 30 03  63114111003000.0      1      43069.316      40839.391      -2803.328     -2.300     12.300     10.600      0.000      0.000      0.000       -3.72       2.05       0.32       2.22     590.41     292.22    -246.09      46.13     -17.00     -29.79       0.19     -28.27       2.16      -0.08
2000 003 01 03 09 45 03  63114111903000.0      1      41030.531      42687.039      -3567.872     -0.600     10.800      6.500      0.000      0.000      0.000       -4.25       0.72       0.10       2.34     583.99     333.17    -244.48      88.69     -18.00     -30.85       0.06     -28.14       2.16      -0.08
2000 003 01 03 10 00 03  63114112803000.0      1      38928.035      44470.977      -4396.128     -6.900     10.900      4.300      0.000      0.000      0.000       -4.24       0.85       0.00       2.25     582.47     301.22    -244.29      57.92     -19.97     -32.01       0.00     -28.01       2.12      -0.09
2000 003 01 03 10 15 03  63114113703000.0      1      36698.113      46254.914      -5160.672     -2.600     16.500      6.300      0.000      0.000      0.000       -3.39       2.15       0.35       2.19     591.96     237.87    -146.06      92.80     -18.00     -30.53       0.21     -27.88       2.06      -0.09
2000 003 01 03 10 30 03  63114114603000.0      1      34468.191      47847.715      -5861.504     -2.400     17.800      7.000      0.000      0.000      0.000       -2.37       2.00       1.77       2.36     597.66     332.79    -206.75     126.04     -13.99     -28.08       1.05     -27.74       1.99      -0.09
2000 003 01 03 10 45 03  63114115503000.0      1      32174.563      49440.516      -6498.624      3.000     22.400     11.700      0.000      0.000      0.000       -0.72       1.34       3.07       2.48     611.62     472.44    -318.97     153.46     -11.00     -26.48       1.87     -27.62       1.90      -0.09
2000 003 01 03 11 00 03  63114116403000.0      1      29817.217      51033.316      -7072.032     -3.500     20.800     13.100      0.000      0.000      0.000        0.39       1.50       2.51       2.49     618.92     170.67    -119.56      51.11      -8.99     -25.11       1.54     -27.50       1.79      -0.09
2000 003 01 03 11 15 03  63114117303000.0      1      27459.873      52434.977      -7645.440     -8.500     16.600     11.000      0.000      0.000      0.000       -1.57       0.69       2.97       2.66     608.10      78.05     -17.19      60.86     -10.00     -26.25       1.80     -27.39       1.66      -0.08
2000 003 01 03 11 30 03  63114118203000.0      1      25038.816      53836.641      -8091.424    -10.600     17.000     11.500      0.000      0.000      0.000        1.73       0.07       3.26       2.88     627.78     177.04    -117.12      59.92      -9.98     -27.60       2.04     -27.29       1.49      -0.08
2000 003 01 03 11 45 03  63114119103000.0      1      22554.049      55174.594      -8473.696     -6.900     13.200      5.800      0.000      0.000      0.000       -3.57       0.88      -0.02       2.50     579.70     295.20    -225.08      70.12      -8.00     -23.24      -0.01     -27.20       1.30      -0.07
2000 003 01 03 12 00 03  63114120003000.0      1      20069.281      56448.832      -8855.968     -4.900     15.700      3.400      0.000      0.000      0.000       -2.66       1.22      -1.43       2.44     592.97     118.21     -76.25      41.96      -7.99     -23.39      -0.85     -27.12       1.09      -0.06
2000 003 01 03 12 15 03  63114120903000.0      1      17520.801      57595.648      -9174.528     -7.300     17.300      5.300      0.000      0.000      0.000       -3.41       0.86       0.32       2.69     585.01     123.78     -73.92      49.85      -6.00     -22.43       0.19     -27.05       0.86      -0.06
2000 003 01 03 12 30 03  63114121803000.0      1      14972.320      58678.754      -9429.376     -7.700     15.700      5.100      0.000      0.000      0.000       -2.63       2.42      -0.61       2.33     585.90      80.99     -46.89      34.09      -7.01     -22.07      -0.36     -26.99       0.64      -0.05
2000 003 01 03 12 45 03  63114122703000.0      1      12423.841      59698.145      -9556.801     -7.000     14.900      3.000      0.000      0.000      0.000        0.02       2.22      -3.72       2.82     597.36      89.34     -48.27      41.07      -9.00     -25.62      -2.22     -26.95       0.42      -0.05
2000 003 01 03 13 00 03  63114123603000.0      1       9811.648      60717.535      -9684.225     -4.600     15.500     -0.300      0.000      0.000      0.000       -2.43       4.10      -1.04       2.13     576.53     174.23    -129.20      44.04      -9.01     -22.70      -0.60     -26.92       0.21      -0.05
2000 003 01 03 13 15 03  63114124503000.0      1       7199.456      61609.508      -9684.225     -6.300     16.500     -1.400      0.000      0.000      0.000       -3.17       2.46       2.61       2.22     562.00     194.07    -115.03      80.03     -12.02     -25.00       1.46     -26.91       0.01      -0.05
2000 003 01 03 13 30 03  63114125403000.0      1       4587.264      62374.051      -9684.225     -6.400     13.600     -3.200      0.000      0.000      0.000       -3.00       1.98       2.32       2.21     563.65     115.17     -75.14      40.02     -16.01     -28.19       1.30     -26.91      -0.18      -0.05
2000 003 01 03 13 45 03  63114126303000.0      1       1975.072      63202.305      -9556.801     -7.100     12.400     -3.600      0.000      0.000      0.000       -0.88       4.23      -2.20       2.22     584.57     216.75    -185.85      29.91     -17.00     -29.62      -1.28     -26.92      -0.38      -0.06
2000 003 01 03 14 00 03  63114127203000.0      1       -637.120      63903.137      -9429.376     -5.700     14.500     -5.700      0.000      0.000      0.000       -3.95       2.18       0.40       2.08     554.85     202.95    -190.91      12.03     -16.01     -27.51       0.22     -26.94      -0.56      -0.06
2000 003 01 03 14 15 03  63114128103000.0      1      -3249.312      64476.547      -9238.240     -5.700     17.900     -5.800      0.000      0.000      0.000       -3.70       2.48       0.16       2.09     554.62     250.47    -235.40      15.07     -17.00     -28.37       0.09     -26.96      -0.74      -0.07
2000 003 01 03 14 30 03  63114129003000.0      1      -5861.504      65049.953      -9047.104     -6.100     18.100     -2.600      0.000      0.000      0.000       -3.58       2.85      -1.58       2.07     552.45     244.75    -192.82      51.94     -17.00     -28.26      -0.87     -26.98      -0.89      -0.07
2000 003 01 03 14 45 03  63114129903000.0      1      -8473.696      65495.938      -8728.544     -6.400     16.300      2.700      0.000      0.000      0.000       -4.28       2.12      -0.65       2.13     547.91     265.14    -169.18      95.96     -15.00     -26.71      -0.35     -26.99      -1.02      -0.08
2000 003 01 03 15 00 03  63114130803000.0      1     -11085.889      65941.922      -8409.984     -5.300      4.500      2.900      0.000      0.000      0.000       -4.47       2.17       0.80       1.96     542.28     180.01    -134.99      45.02     -15.99     -26.73       0.43     -27.01      -1.11      -0.09
