year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
2003 001 01 01 01 30 09  63208603809000.0      1     -23318.594      34786.754      -4842.112      4.800      0.000     -7.900      0.000      0.000      0.000       -1.21       6.64       1.08       5.53     426.79      44.73     -14.91      29.82       2.00     -16.84       0.46     -28.70      11.34       1.68
2003 001 01 01 01 45 15  63208604715000.0      1     -24911.393      33512.516      -5988.928      5.100      1.200     -9.100      0.000      0.000      0.000       -0.87       6.52       1.66       5.52     429.20      47.95     -14.00      33.05       3.05     -16.11       0.71     -27.66       9.30       1.49
2003 001 01 01 02 00 15  63208605615000.0      1     -26822.754      31728.576      -7326.880      6.100      2.100    -11.500      0.000      0.000      0.000       -0.34       6.24       1.68       6.15     426.43      53.75     -16.05      36.75       4.00     -16.26       0.72     -26.76       7.38       1.31
2003 001 01 01 02 15 15  63208606515000.0      1     -28542.977      29817.217      -8601.120      6.600      3.400    -14.500      0.000      0.000      0.000        1.57       6.12       0.61       6.31     429.04      46.25     -17.25      28.05       2.00     -18.21       0.26     -26.00       5.55       1.15
2003 001 01 01 02 30 15  63208607415000.0      1     -30199.488      27714.721      -9811.648      9.200      2.900    -16.200      0.000      0.000      0.000       -3.96       5.22      -2.42       4.61     404.39      56.85     -23.20      33.60      -0.10     -16.04      -0.98     -25.37       3.84       1.00
2003 001 01 01 02 45 15  63208608315000.0      1     -31792.287      25484.801     -11022.177      9.500      3.700    -18.000      0.000      0.000      0.000       -4.40       3.29      -3.27       4.72     404.02      73.30     -53.85      20.40      -3.00     -18.53      -1.32     -24.88       2.24       0.86
2003 001 01 01 03 00 15  63208609215000.0      1     -33130.238      23063.744     -12105.280      9.900      4.500    -19.400      0.000      0.000      0.000       -4.67       4.12      -1.69       4.69     404.95      96.45     -63.65      32.80      -4.05     -19.34      -0.68     -24.51       0.79       0.74
2003 001 01 01 03 15 15  63208610115000.0      1     -34404.480      20578.977     -13060.960     10.700      5.600    -22.400      0.000      0.000      0.000       -0.38       5.80       2.32       5.57     415.71      79.65     -58.60      22.00      -6.00     -22.89       0.96     -24.25      -0.51       0.62
2003 001 01 01 03 30 15  63208611015000.0      1     -35487.586      17966.783     -13952.929     11.800      5.300    -24.300      0.000      0.000      0.000       -0.44       5.75       2.32       5.00     420.55      99.70     -72.60      28.05      -6.00     -22.08       0.97     -24.09      -1.64       0.51
2003 001 01 01 03 45 15  63208611915000.0      1     -36443.266      15290.881     -14717.472     14.400      5.700    -24.700      0.000      0.000      0.000        3.69       5.85       1.40       5.74     436.72      94.50     -74.25      20.25      -7.00     -24.83       0.61     -24.02      -2.60       0.42
2003 001 01 01 04 00 15  63208612815000.0      1     -37271.520      12487.553     -15354.593     15.200      5.000    -23.300      0.000      0.000      0.000        2.34       6.20       1.99       6.03     433.34     112.60     -81.40      32.10      -7.00     -25.16       0.86     -24.02      -3.40       0.33
2003 001 01 01 04 15 15  63208613715000.0      1     -37908.641       9556.801     -15864.288     15.300      5.700    -22.500      0.000      0.000      0.000        2.74       6.60       1.91       6.10     431.61      93.80     -61.00      32.85      -6.95     -25.16       0.82     -24.10      -4.02       0.25
2003 001 01 01 04 30 15  63208614615000.0      1     -38354.625       6626.048     -16182.849     14.300      6.000    -22.100      0.000      0.000      0.000        2.20       6.02       2.83       6.82     424.27      77.85     -47.90      29.00      -5.00     -24.40       1.20     -24.25      -4.49       0.18
2003 001 01 01 04 45 15  63208615515000.0      1     -38673.188       3695.296     -16373.984     13.100      6.200    -21.600      0.000      0.000      0.000        1.79       6.01       3.17       6.98     426.35      62.00     -33.10      28.90      -4.95     -24.65       1.35     -24.44      -4.80       0.11
2003 001 01 01 05 00 15  63208616415000.0      1     -38800.609        700.832     -16437.695     12.000      6.400    -21.500      0.000      0.000      0.000        1.28       6.27       3.24       6.79     423.86      53.85     -30.85      23.00      -5.00     -24.32       1.37     -24.68      -4.97       0.05
2003 001 01 01 05 15 15  63208617315000.0      1     -38800.609      -2293.632     -16373.984     11.000      6.100    -21.500      0.000      0.000      0.000        3.59       5.78       2.26       6.98     430.33      49.20     -23.10      26.10      -5.00     -24.89       0.97     -24.94      -5.01      -0.01
2003 001 01 01 05 30 15  63208618215000.0      1     -38609.473      -5224.384     -16119.137      9.900      5.700    -21.300      0.000      0.000      0.000        3.02       6.83       0.39       6.67     425.90      56.10     -27.10      29.05      -5.05     -24.27       0.17     -25.24      -4.95      -0.06
2003 001 01 01 05 45 15  63208619115000.0      1     -38290.914      -8218.848     -15736.864      9.700      5.100    -21.900      0.000      0.000      0.000        2.29       7.04      -0.10       5.70     425.00      68.70     -33.95      34.75      -7.00     -24.25      -0.04     -25.54      -4.80      -0.10
2003 001 01 01 06 00 15  63208620015000.0      1     -37781.215     -11085.889     -15163.457     10.200      5.400    -22.900      0.000      0.000      0.000        1.81       7.24      -0.99       5.48     423.29      88.75     -52.85      35.90      -8.00     -24.61      -0.42     -25.85      -4.57      -0.15
2003 001 01 01 06 15 15  63208620915000.0      1     -37080.387     -13889.217     -14526.336     10.800      6.200    -23.800      0.000      0.000      0.000       -0.63       6.07      -3.05       5.09     420.05      89.15     -58.15      31.95     -10.00     -25.43      -1.28     -26.14      -4.28      -0.20
2003 001 01 01 06 30 15  63208621815000.0      1     -36252.129     -16628.832     -13761.793     10.900      6.700    -25.600      0.000      0.000      0.000        2.44       6.59      -0.80       5.74     425.26     154.55    -121.40      33.15     -11.05     -27.59      -0.34     -26.42      -3.95      -0.24
2003 001 01 01 06 45 15  63208622715000.0      1     -35232.738     -19241.025     -12806.112     11.600      7.400    -28.200      0.000      0.000      0.000       -1.42       4.78      -4.44       5.51     417.95      95.35     -58.80      35.60     -13.10     -28.51      -1.85     -26.68      -3.58      -0.29
2003 001 01 01 07 00 15  63208623615000.0      1     -34085.922     -21789.506     -11850.433     10.500      7.100    -31.200      0.000      0.000      0.000        0.77       5.78      -2.97       5.67     425.21      97.55     -72.75      23.85     -14.90     -30.52      -1.26     -26.93      -3.18      -0.33
2003 001 01 01 07 15 15  63208624515000.0      1     -32811.680     -24210.561     -10703.616      6.100      9.400    -30.600      0.000      0.000      0.000        3.78       5.56      -0.81       6.03     428.34     258.55    -244.65      14.85     -13.00     -29.74      -0.34     -27.16      -2.76      -0.37
2003 001 01 01 07 30 15  63208625415000.0      1     -31410.016     -26504.191      -9556.801      6.200     12.400    -18.600      0.000      0.000      0.000        3.49       5.81      -1.18       6.38     427.51     271.55    -255.20      15.40     -13.00     -30.28      -0.51     -27.37      -2.34      -0.41
2003 001 01 01 07 45 15  63208626315000.0      1     -29817.217     -28606.688      -8282.560      7.600     13.400    -15.800      0.000      0.000      0.000        1.65       6.25      -2.21       5.38     422.17     327.75    -287.20      39.60     -15.05     -30.06      -0.93     -27.55      -1.91      -0.44
2003 001 01 01 08 00 15  63208627215000.0      1     -28160.705     -30581.762      -7008.320      7.900     10.300    -14.700      0.000      0.000      0.000        1.11       6.37      -1.63       5.84     421.30     220.95    -189.20      32.70     -16.05     -31.55      -0.69     -27.70      -1.49      -0.48
2003 001 01 01 08 15 15  63208628115000.0      1     -26313.057     -32429.410      -5670.368      5.900      9.800    -12.500      0.000      0.000      0.000        4.56       5.27       0.85       6.68     427.32     177.25    -144.80      33.45     -18.05     -34.75       0.36     -27.82      -1.08      -0.51
2003 001 01 01 08 30 15  63208629015000.0      1     -24401.695     -34085.922      -4332.416      5.900      8.200    -14.100      0.000      0.000      0.000        2.64       5.78      -1.80       5.19     419.45     146.80    -117.10      30.70     -20.05     -33.61      -0.76     -27.91      -0.67      -0.54
2003 001 01 01 08 45 15  63208629915000.0      1     -22362.912     -35615.012      -2930.752      4.200      6.800    -14.100      0.000      0.000      0.000        3.60       4.94      -2.81       5.33     426.49     215.30    -184.70      30.60     -16.90     -31.64      -1.20     -27.96      -0.26      -0.56
2003 001 01 01 09 00 15  63208630815000.0      1     -20260.418     -36952.961      -1592.800      2.600      5.900    -13.000      0.000      0.000      0.000        3.59       4.93      -2.73       5.26     422.96     231.75    -207.75      24.00     -15.00     -29.83      -1.15     -27.97       0.12      -0.59
2003 001 01 01 09 15 15  63208631715000.0      1     -18030.496     -38099.777       -191.136      1.800      4.000    -13.400      0.000      0.000      0.000        0.26       5.37      -3.94       5.14     403.45     337.00    -317.60      19.35     -14.95     -28.78      -1.59     -27.97       0.48      -0.62
2003 001 01 01 09 30 15  63208632615000.0      1     -15736.864     -39119.168       1146.816      0.600      3.700    -12.300      0.000      0.000      0.000        5.06       3.78      -1.75       5.45     425.70     327.60    -277.20      50.40     -14.00     -29.46      -0.74     -27.94       0.82      -0.64
2003 001 01 01 09 45 15  63208633515000.0      1     -13379.520     -39883.715       2421.056     -0.500      3.400    -10.100      0.000      0.000      0.000        4.93       4.16      -1.30       5.38     419.44     335.80    -263.85      72.00     -12.95     -28.25      -0.54     -27.90       1.14      -0.66
2003 001 01 01 10 00 15  63208634415000.0      1     -11022.177     -40520.836       3695.296     -1.400      2.200     -8.000      0.000      0.000      0.000        4.33       4.04      -1.76       5.55     421.58     317.65    -254.40      62.30     -12.00     -27.86      -0.74     -27.84       1.44      -0.67
