year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
2011 018 01 18 11 45 00  63462570300000.0     90    -303022.844     167943.656       5590.057     -4.623      1.390      1.300      0.875      0.505      0.334        0.53       1.60       0.35       3.78     422.40      36.00     -26.00       9.00       3.00     -12.70       0.15     -13.17       0.50       0.43
2011 018 01 18 11 55 00  63462570900000.0     90    -303186.438     167480.672       5905.183     -3.818      1.098      2.299      0.607      0.186      0.234        1.10       2.15       0.77       3.41     425.20      22.00     -12.00      10.00       4.00     -11.22       0.33     -13.13       0.31       0.44
2011 018 01 18 12 25 00  63462572700000.0     89    -303673.844     166068.734       7146.670     -5.686      1.427      1.083      0.851      0.411      0.869       -0.66      -1.57       1.02       3.84     418.80      24.00     -16.00       8.00       5.00     -11.10       0.43     -13.06      -0.19       0.47
2011 018 01 18 12 35 00  63462573300000.0     90    -303835.250     165589.156       7654.853     -2.759     -0.186      1.809      1.461      0.513      0.894       -0.49      -1.77       1.46       3.69     418.30      29.00     -20.00      10.00       4.00     -11.57       0.61     -13.06      -0.34       0.47
2011 018 01 18 12 40 00  63462573600000.0     89    -303915.469     165348.281       7924.816     -0.083      0.108      0.869      3.297      0.408      1.445       -0.03      -1.23       1.93       3.62     418.90      30.00     -20.00      10.00       4.00     -11.45       0.81     -13.06      -0.41       0.48
2011 018 01 18 12 45 00  63462573900000.0     90    -303995.500     165106.188       8205.568     -1.945      0.250      0.920      2.491      0.943      0.948        1.39       0.95       1.00       3.73     423.40      33.00     -21.00      12.00       4.00     -11.85       0.42     -13.07      -0.48       0.48
2011 018 01 18 12 50 00  63462574200000.0     89    -304075.406     164862.828       8496.855     -1.960      3.006      1.867      1.576      1.435      1.228        0.89       1.85       0.60       3.85     421.20      36.00     -21.00      15.00       4.00     -11.96       0.25     -13.07      -0.55       0.49
2011 018 01 18 12 55 00  63462574500000.0     90    -304155.094     164618.156       8798.501     -5.188      0.829      1.689      0.723      0.927      0.579        1.43       0.92       0.86       3.99     421.40      35.00     -26.00       9.00       5.00     -11.49       0.36     -13.08      -0.62       0.49
2011 018 01 18 13 00 00  63462574800000.0     89    -304234.563     164372.313       9110.282     -4.640      1.100     -1.171      0.725      0.556      0.950        1.57       0.79       0.62       3.90     423.70      29.00     -19.00      10.00       4.00     -12.18       0.26     -13.09      -0.68       0.50
2011 018 01 18 13 05 00  63462575100000.0     90    -304313.875     164124.969       9431.977     -1.419     -0.074      1.543      2.610      1.246      1.944        0.45       1.77       0.69       3.51     419.70      24.00     -15.00       9.00       3.00     -12.08       0.29     -13.10      -0.75       0.50
2011 018 01 18 13 10 00  63462575400000.0     90    -304393.469     163874.781       9765.218     -2.805     -0.477      1.948      1.011      0.960      1.059       -0.11       2.55       0.73       3.42     415.90      25.00     -16.00       9.00       3.00     -11.72       0.30     -13.11      -0.80       0.51
2011 018 01 18 13 15 00  63462575700000.0     89    -304472.500     163624.344      10106.069     -3.845      0.871     -0.043      0.266      0.368      0.382       -0.17       2.59       0.50       3.32     414.70      27.00     -18.00       9.00       4.00     -10.68       0.21     -13.12      -0.86       0.51
2011 018 01 18 13 20 00  63462576000000.0     90    -304551.375     163372.391      10456.165     -3.351     -0.065      1.691      0.601      0.476      0.755       -0.17       2.26       0.53       3.39     416.90      29.00     -19.00      10.00       4.00     -10.92       0.22     -13.14      -0.91       0.52
2011 018 01 18 13 25 00  63462576300000.0     89    -304630.000     163118.875      10815.260     -2.386      0.871      2.413      0.359      0.262      0.405        0.13       1.26       0.65       3.60     412.10      28.00     -19.00      10.00       4.00     -11.16       0.27     -13.15      -0.96       0.52
2011 018 01 18 13 30 00  63462576600000.0     90    -304708.500     162863.656      11183.135     -2.475      1.112      2.616      0.432      0.294      0.349        2.05      -0.31       0.89       3.86     422.80      28.00     -19.00       9.00       4.00     -12.07       0.38     -13.17      -1.01       0.53
2011 018 01 18 13 35 00  63462576900000.0     90    -304787.219     162605.391      11561.678      2.190      0.575      1.660      1.560      1.209      0.912        2.06       0.32       1.02       3.74     422.90      30.00     -19.00      11.00       4.00     -11.85       0.43     -13.19      -1.06       0.53
2011 018 01 18 13 40 00  63462577200000.0     89    -304865.375     162346.688      11946.412     -1.695      0.164      1.575      0.718      0.420      0.977        1.18       1.28       1.20       3.91     415.60      29.00     -18.00      11.00       4.00     -11.90       0.50     -13.21      -1.10       0.54
2011 018 01 18 13 45 00  63462577500000.0     90    -304943.281     162086.281      12339.241     -0.672      0.252      1.578      0.785      0.704      0.316        1.40       1.42       1.43       3.70     414.00      29.00     -21.00       8.00       3.00     -12.25       0.59     -13.23      -1.14       0.54
2011 018 01 18 13 50 00  63462577800000.0     89    -305021.094     161823.969      12739.321      2.563     -0.401      1.467      1.770      0.985      0.400        1.42       1.49       1.51       3.70     414.00      31.00     -23.00       8.00       3.00     -12.25       0.62     -13.26      -1.18       0.54
2011 018 01 18 13 55 00  63462578100000.0     90    -305098.688     161559.781      13147.352      2.426     -0.672      1.489      1.104      0.586      0.810        1.27       1.37       1.58       3.66     415.90      37.00     -29.00       8.00       3.00     -12.25       0.66     -13.28      -1.22       0.55
2011 018 01 18 14 00 00  63462578400000.0     89    -305176.094     161293.625      13562.818      2.146     -0.508      1.332      0.456      0.789      0.525        1.37       1.42       1.65       3.71     419.10      37.00     -26.00      11.00       3.00     -12.42       0.69     -13.31      -1.26       0.55
