year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
2015 001 01 01 00 00 00  63587289600000.0     70      -2829.133      66425.789     -61965.465    -26.643     12.685     -4.768      0.283      0.289      0.328        5.03      -2.72       1.04       3.18     531.40      36.00      -6.00      30.00     -20.00     -33.39       0.55     -42.71      12.33      -7.25
2015 001 01 01 00 05 00  63587289900000.0     71      -2527.062      66821.484     -62019.754    -26.377     11.842     -5.279      0.537      0.798      0.566        6.14      -2.21       2.01       2.59     564.30      45.00      -8.00      37.00     -20.00     -32.70       1.13     -42.37      11.98      -6.97
2015 001 01 01 00 10 00  63587290200000.0     72      -2222.614      67211.367     -62078.082    -24.930     10.989     -6.852      0.628      0.525      0.510        6.24      -2.40       1.84       2.01     563.80      47.00     -10.00      37.00     -20.00     -30.71       1.04     -42.04      11.64      -6.70
2015 001 01 01 00 15 00  63587290500000.0     71      -1918.010      67592.539     -62140.289    -24.789     11.132     -7.006      0.267      0.504      0.533        6.03      -2.34       1.38       2.79     565.70      47.00      -9.00      38.00     -20.00     -33.34       0.78     -41.72      11.29      -6.43
2015 001 01 01 00 20 00  63587290800000.0     72      -1613.260      67964.953     -62206.563    -24.332     11.808     -6.443      0.674      0.593      0.508        5.39      -2.55       0.92       2.67     562.50      33.00      -9.00      24.00     -20.00     -32.90       0.52     -41.41      10.94      -6.17
2015 001 01 01 00 25 00  63587291100000.0     71      -1308.386      68328.617     -62276.957    -24.057     12.511     -6.079      0.487      0.245      0.470        4.44      -3.32       0.99       2.77     556.60      34.00     -10.00      24.00     -21.00     -33.85       0.55     -41.10      10.60      -5.92
2015 001 01 01 00 30 00  63587291400000.0     71      -1005.530      68681.102     -62351.051    -24.378     11.821     -6.677      0.822      0.263      0.822        4.66      -3.01       1.04       3.18     550.50      37.00     -10.00      27.00     -21.00     -34.86       0.57     -40.80      10.26      -5.67
2015 001 01 01 00 35 00  63587291700000.0     72       -700.449      69027.352     -62430.008    -25.218     12.598     -5.887      0.778      0.505      0.508        4.61      -3.40       0.84       3.71     559.00      41.00     -10.00      31.00     -20.00     -35.80       0.47     -40.51       9.91      -5.42
2015 001 01 01 00 40 00  63587292000000.0     71       -395.282      69364.945     -62513.340    -25.306     14.259     -4.723      0.525      1.300      0.508        4.94      -3.24       1.04       3.70     566.40      40.00      -8.00      32.00     -19.00     -35.21       0.59     -40.23       9.57      -5.19
2015 001 01 01 00 45 00  63587292300000.0     71        -92.180      69691.539     -62600.613    -25.941     14.168     -3.684      0.906      1.055      0.799        5.26      -3.09       1.24       3.68     573.80      48.00      -9.00      39.00     -18.00     -34.62       0.71     -39.95       9.24      -4.96
2015 001 01 01 00 50 00  63587292600000.0     72        213.111      70011.805     -62693.063    -26.130     14.971     -3.606      1.563      1.749      1.209        4.83      -3.93       1.06       3.70     571.10      41.00      -7.00      33.00     -18.00     -34.62       0.60     -39.69       8.90      -4.73
2015 001 01 01 00 55 00  63587292900000.0     71        518.442      70323.438     -62790.125    -26.643     13.604     -4.587      1.167      1.210      1.313        4.99      -3.65       1.04       3.87     563.80      50.00      -9.00      42.00     -18.00     -34.79       0.59     -39.43       8.57      -4.52
2015 002 01 02 11 55 00  63587418900000.0     72      43762.465      32995.500      27380.648     41.961    -11.551    -44.750      5.931      6.938      5.149        6.87      -3.69      -2.22      13.06     434.10     153.00     -45.00     109.00       1.00     -28.04      -0.96     -30.27      -1.98      -0.04
2015 002 01 02 12 00 00  63587419200000.0     71      43337.219      32319.902      27738.357     49.910    -16.017    -46.008      7.307      8.965     15.032        6.50      -4.23      -2.06      13.31     431.60     200.00     -72.00     128.00       1.00     -28.15      -0.88     -30.33      -2.02      -0.05
2015 002 01 02 12 05 00  63587419500000.0     71      42907.973      31640.965      28089.803     33.512    -18.947     -8.357     19.240     10.118     28.893        6.82      -3.63      -2.97      12.86     433.80     266.00    -130.00     136.00       1.00     -27.80      -1.28     -30.39      -2.05      -0.05
2015 002 01 02 12 10 00  63587419800000.0     72      42468.578      30949.031      28439.537     49.640     -2.114    -48.930     13.713      8.675     21.539        6.36      -2.89      -4.11      13.49     431.15     390.00    -248.00     142.00       2.00     -27.51      -1.21     -30.46      -2.09      -0.06
2015 002 01 02 12 15 00  63587420100000.0     71      42021.926      30248.873      28784.732     53.481     -3.035    -56.170     10.498      8.503     15.379        6.83      -2.32      -2.68      14.13     428.50     369.00    -226.00     144.00       2.00     -28.02      -1.14     -30.53      -2.13      -0.06
2015 002 01 02 12 20 00  63587420400000.0     71      41571.125      29545.369      29122.611      5.689     -4.221     34.341     13.833      9.813     16.188        7.10      -2.94      -0.74      14.58     426.10     401.00    -261.00     141.00       2.00     -28.30      -0.31     -30.60      -2.18      -0.07
2015 002 01 02 12 25 00  63587420700000.0     72      41109.691      28828.596      29457.559     -3.681     -0.163     44.921      6.649      7.235      5.007        6.97      -1.77      -3.25      13.67     430.10     392.00    -242.00     150.00       2.00     -27.64      -1.39     -30.68      -2.24      -0.08
2015 002 01 02 12 30 00  63587421000000.0     71      40640.660      28103.465      29786.781     -1.815     -3.640     42.485      3.343      3.242      1.626        6.06      -2.40      -3.76      13.67     433.30     406.00    -264.00     142.00       2.00     -27.84      -1.62     -30.75      -2.31      -0.09
