year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
1998 001 01 01 13 30 02  63050880602000.0      1      11022.177      66770.172      -5160.672     -5.300     12.100     10.400      0.000      0.000      0.000       -5.01       2.26       1.79       8.70     339.80      17.01      -6.01      11.00     -13.00     -28.84       0.61     -29.48       4.25       0.16
1998 001 01 01 13 45 03  63050881503000.0      1       9110.816      67789.570      -4969.536     -4.200      9.000      8.300      0.000      0.000      0.000       -5.18       2.51       0.48       8.68     339.27      17.95      -7.00      10.95     -13.00     -28.78       0.16     -29.06       4.34       0.16
1998 001 01 01 14 00 03  63050882403000.0      1       6817.185      69000.094      -4714.688     -5.700      9.700      7.800      0.000      0.000      0.000       -5.48       1.58      -1.05       8.12     334.19      13.15      -8.10       4.06     -12.99     -27.93      -0.35     -28.65       4.45       0.17
1998 001 01 01 14 15 03  63050883303000.0      1       4459.840      70083.203      -4332.416     -4.800     11.100      7.100      0.000      0.000      0.000       -3.67       3.93      -0.50       8.27     344.67      24.94     -15.95       9.98     -12.00     -27.84      -0.17     -28.22       4.59       0.17
1998 001 01 01 14 30 03  63050884203000.0      1       2166.208      71166.305      -3950.144     -4.600      8.100      4.200      0.000      0.000      0.000       -4.71       3.02      -2.33       8.10     343.21      36.03     -20.98      15.05     -13.00     -28.37      -0.80     -27.79       4.73       0.17
1998 001 01 01 14 45 03  63050885103000.0      1       -127.424      72121.984      -3504.160     -4.900     10.600      4.600      0.000      0.000      0.000       -3.01       4.30      -2.05       8.18     351.82      25.05     -16.04       9.01     -12.99     -28.91      -0.72     -27.37       4.87       0.16
1998 001 01 01 15 00 03  63050886003000.0      1      -2484.768      73077.664      -2994.464     -5.000     10.300      2.500      0.000      0.000      0.000        3.31       4.65       0.68       8.67     368.40      47.91     -21.98      24.94     -13.00     -30.27       0.25     -26.94       5.00       0.15
1998 001 01 01 15 15 03  63050886903000.0      1      -4778.400      73905.922      -2484.768     -5.000     10.600      2.100      0.000      0.000      0.000        3.83       5.43       0.72       7.07     381.18      36.95     -22.02      14.93     -13.00     -29.01       0.27     -26.52       5.11       0.14
1998 001 01 01 15 30 03  63050887803000.0      1      -7072.032      74734.172      -1911.360     -5.700     10.800      3.200      0.000      0.000      0.000        2.80       5.89      -1.39       7.96     379.42      64.24     -62.23       1.02     -12.00     -29.29      -0.53     -26.10       5.18       0.12
1998 001 01 01 15 45 03  63050888703000.0      1      -9365.664      75435.008      -1274.240     -4.900      9.800      2.700      0.000      0.000      0.000        1.53       5.61      -2.56       6.42     367.75      81.04     -81.01       0.03     -12.00     -26.75      -0.94     -25.70       5.22       0.09
1998 001 01 01 16 00 03  63050889603000.0      1     -11659.297      76135.844       -637.120     -4.600      9.900      2.800      0.000      0.000      0.000        3.75       4.35      -1.20       7.16     373.62      64.19     -63.14       1.05     -12.00     -27.97      -0.80     -25.31       5.21       0.06
1998 001 01 01 16 15 03  63050890503000.0      1     -13952.929      76772.961         63.712     -4.000      8.900      1.100      0.000      0.000      0.000        2.51       4.38      -2.65       6.74     372.03      78.13     -74.08       4.05     -12.00     -27.37      -0.99     -24.95       5.16       0.03
1998 001 01 01 16 30 03  63050891403000.0      1     -16246.561      77346.375        700.832     -2.700      6.900     -1.500      0.000      0.000      0.000       -5.63       2.52       1.78       6.68     325.98      69.01     -68.02       0.99     -13.99     -26.68       0.57     -24.61       5.07       0.00
1998 001 01 01 16 45 03  63050892303000.0      1     -18476.480      77856.070       1465.376     -1.500      3.100      0.100      0.000      0.000      0.000       -5.44       3.12       1.99       6.72     319.55      67.67     -65.67       2.00     -13.00     -25.62       0.63     -24.29       4.93      -0.02
1998 001 01 01 17 00 03  63050893203000.0      1     -20770.113      78302.047       2166.208      0.500     -0.300     -1.000      0.000      0.000      0.000       -6.24       1.77       1.00       6.42     315.91     113.48    -111.52       2.94     -13.00     -25.11       0.32     -23.99       4.76      -0.05
1998 001 01 01 17 15 03  63050894103000.0      1     -23000.031      78748.031       2930.752      0.000      0.400     -1.400      0.000      0.000      0.000       -6.07       2.60       0.79       6.94     313.02     179.14    -183.12      -4.97     -13.00     -25.56       0.25     -23.72       4.55      -0.06
1998 001 01 01 17 30 03  63050895003000.0      1     -25229.953      79130.305       3695.296      0.900     -0.400     -1.100      0.000      0.000      0.000       -5.95       2.79       0.49       6.45     314.09      96.91     -87.93       8.98     -11.99     -24.24       0.15     -23.46       4.29      -0.08
1998 001 01 01 17 45 03  63050895903000.0      1     -27459.873      79385.156       4396.128     -0.100      0.000      0.400      0.000      0.000      0.000       -5.72       2.90       0.30       6.87     310.21      65.75     -60.75       5.00      -9.99     -22.93       0.09     -23.22       4.00      -0.09
