year,doy,month,day,hour,minute,second,epoch,count,x[km],y[km],z[km],bx[nT],by[nT],bz[nT],sdbx[nT],sdby[nT],sdbz[nT],imfbx[nT],imfby[nT],imfbz[nT],nsw[1/cm^3],vsw[km/s],ae[nT],al[nT],au[nT],symh[nT],symh*[nT],ey[mV/m],<symh*>[nT],<dsymh*_dt>[nT/h],<ey>[mV/m]
2011 017 01 17 02 15 00  63462449700000.0    100    -264420.781     159471.234      54269.871      2.327     -0.968      0.026      0.472      0.311      1.041       -2.44       2.03      -1.82       2.99     477.80     106.00     -30.00      76.00      -7.00     -20.82      -0.87     -22.27       0.47      -0.24
2011 017 01 17 02 20 00  63462450000000.0     99    -264598.594     159394.656      53662.934      0.675     -0.701      0.920      0.575      0.665      0.254       -1.84       2.51      -1.51       2.93     479.30     114.00     -35.00      79.00      -7.00     -20.70      -0.72     -22.26       0.49      -0.24
2011 017 01 17 02 35 00  63462450900000.0     99    -265131.531     159172.453      51778.109      2.155     -0.699     -0.161      1.422      0.464      0.659       -1.31       1.57       0.40       2.47     465.40      84.00     -28.00      56.00      -7.00     -19.05       0.19     -22.24       0.53      -0.24
2011 017 01 17 02 40 00  63462451200000.0    100    -265308.531     159100.328      51131.383      1.973     -1.043      0.412      1.072      0.355      0.404       -1.38       0.43      -2.24       2.53     466.70      76.00     -24.00      53.00      -8.00     -20.03      -1.04     -22.23       0.55      -0.24
2011 017 01 17 02 45 00  63462451500000.0     99    -265485.188     159028.922      50475.520     -0.148     -0.161      0.369      0.559      0.307      0.318       -1.23       1.46      -1.76       2.91     467.00      67.00     -23.00      44.00      -7.00     -20.25      -0.82     -22.22       0.56      -0.24
2011 017 01 17 04 15 00  63462456900000.0    100    -268630.313     157620.156      37459.430     -6.271      1.230      2.296      1.460      0.725      1.687       -2.06       3.83      -1.43       4.05     481.70      90.00     -29.00      61.00       0.00     -17.82      -0.69     -21.74       0.79      -0.25
2011 017 01 17 04 20 00  63462457200000.0     99    -268802.750     157523.500      36694.070     -7.471      2.032      3.397      1.548      1.431      1.737       -2.50       3.74      -1.86       3.61     482.60      88.00     -34.00      54.00      -1.00     -17.65      -0.90     -21.71       0.81      -0.25
2011 017 01 17 04 25 00  63462457500000.0    100    -268974.969     157423.891      35926.969     -9.087      2.045      3.452      0.539      0.755      0.958       -2.89       3.35      -2.01       3.79     481.60      95.00     -28.00      68.00      -1.00     -18.05      -0.97     -21.67       0.84      -0.25
2011 017 01 17 04 30 00  63462457800000.0     99    -269146.969     157321.141      35158.523     -8.640      1.184      3.277      1.174      1.202      0.897       -3.18       3.12      -2.02       4.21     482.60     114.00     -38.00      76.00      -2.00     -19.80      -0.97     -21.64       0.86      -0.25
2011 017 01 17 04 35 00  63462458100000.0    100    -269318.719     157215.109      34389.164     -3.714      0.089      3.285      3.410      1.951      1.926       -3.41       2.74      -2.12       3.76     480.40     127.00     -35.00      92.00      -2.00     -18.70      -1.02     -21.61       0.89      -0.25
2011 017 01 17 04 40 00  63462458400000.0     99    -269490.281     157105.703      33619.340      2.653     -0.879      2.453      3.698      1.175      1.305       -3.37       3.13      -1.87       4.04     481.70     148.00     -39.00     108.00      -3.00     -20.22      -0.90     -21.58       0.92      -0.26
2011 017 01 17 04 45 00  63462458700000.0    100    -269661.531     156992.953      32849.551      0.309     -0.855      0.388      2.672      1.524      0.418       -3.25       1.42      -2.83       4.00     481.20     140.00     -34.00     106.00      -4.00     -20.88      -1.36     -21.54       0.94      -0.26
2011 017 01 17 04 50 00  63462459000000.0    100    -269833.469     156875.938      32076.277     -2.266      0.344     -0.404      2.340      0.779      0.465       -2.70      -0.66      -3.42       4.35     476.70     145.00     -36.00     109.00      -4.00     -21.49      -1.63     -21.51       0.97      -0.26
2011 017 01 17 04 55 00  63462459300000.0     99    -270004.281     156755.844      31307.732      1.759     -1.059      1.428      0.885      0.622      0.944       -2.73       0.06      -2.71       4.47     477.70     151.00     -42.00     109.00      -5.00     -22.57      -1.29     -21.48       0.99      -0.26
2011 017 01 17 05 00 00  63462459600000.0    100    -270174.938     156631.984      30540.479     -3.934      0.720      1.682      3.186      0.327      2.260       -3.40       1.73      -1.86       3.89     480.85     146.00     -53.00      93.00      -6.00     -22.22      -1.06     -21.45       1.02      -0.26
2011 017 01 17 05 05 00  63462459900000.0     99    -270345.344     156504.313      29774.967     -4.701      1.698      3.489      2.348      0.244      1.032       -3.26       2.07      -1.73       3.31     484.00     145.00     -49.00      96.00      -8.00     -22.58      -0.84     -21.42       1.05      -0.26
2011 017 01 17 05 10 00  63462460200000.0    100    -270515.469     156372.828      29011.680     -1.901     -0.727      0.857      0.656      1.091      0.672       -3.18       2.41      -1.33       3.34     484.40     123.00     -42.00      81.00      -9.00     -23.46      -0.77     -21.39       1.07      -0.26
2011 017 01 17 05 15 00  63462460500000.0     99    -270685.406     156237.359      28250.975     -3.177      1.071      0.553      1.259      0.718      0.574       -3.06       2.38      -1.46       3.36     484.80     105.00     -30.00      75.00     -11.00     -25.14      -0.71     -21.35       1.10      -0.26
2011 017 01 17 05 20 00  63462460800000.0     84    -270841.500     156109.281      27554.059     -4.743      0.025      0.596      0.777      0.333      0.189       -3.27      -0.07      -2.02       3.87     480.50      97.00     -40.00      57.00     -11.00     -26.14      -0.84     -21.32       1.12      -0.26
2011 017 01 17 05 30 00  63462461400000.0     47    -271238.875     155767.109      25789.689     -0.560     -0.124     -0.379      0.281      0.232      0.426       -2.88      -1.76      -1.37       4.42     474.40      74.00      -7.00      68.00     -11.00     -27.14      -0.65     -21.25       1.16      -0.26
2011 017 01 17 05 35 00  63462461700000.0    100    -271363.719     155654.563      25239.264     -0.465     -0.101      0.394      0.346      0.397      0.301       -3.14      -2.30      -1.04       3.91     469.90      58.00     -12.00      46.00     -11.00     -25.90      -0.49     -21.21       1.19      -0.26
2011 017 01 17 05 40 00  63462462000000.0     99    -271532.531     155498.859      24498.115     -2.100      1.100      0.658      1.332      0.825      0.460       -3.45      -1.97      -0.86       3.92     467.00      52.00     -15.00      37.00     -11.00     -25.80      -0.40     -21.18       1.21      -0.26
2011 017 01 17 05 45 00  63462462300000.0    100    -271701.094     155339.078      23762.146     -5.070      0.555      2.301      0.410      0.594      1.193       -3.61      -1.58      -0.72       3.91     465.20      64.00     -27.00      37.00     -10.00     -24.90      -0.33     -21.14       1.22      -0.26
2011 017 01 17 05 50 00  63462462600000.0     99    -271869.406     155175.219      23031.744     -6.022      1.324      2.031      0.695      0.476      1.315       -2.60       0.09      -1.92       4.26     471.10     109.00     -64.00      44.00      -9.00     -25.12      -0.90     -21.11       1.24      -0.26
2011 017 01 17 05 55 00  63462462900000.0    100    -272037.469     155007.328      22307.354     -6.919      2.757      1.636      1.828      1.888      0.761       -1.64       0.59      -2.71       4.10     477.50     138.00     -86.00      52.00      -8.00     -24.18      -1.29     -21.07       1.26      -0.26
2011 017 01 17 06 00 00  63462463200000.0    100    -272206.188     154834.438      21585.922     -6.262      3.095      1.141      1.084      1.135      0.847       -1.43       0.92      -2.67       4.26     484.70     162.00    -111.00      50.00      -7.00     -23.98      -1.29     -21.03       1.28      -0.26
2011 017 01 17 06 05 00  63462463500000.0     99    -272373.875     154658.281      20874.914     -7.977      2.448      1.496      0.410      0.443      0.307       -2.14       0.64      -2.16       4.04     481.90     197.00    -146.00      52.00      -6.00     -22.58      -1.04     -21.00       1.29      -0.26
2011 017 01 17 06 10 00  63462463800000.0    100    -272541.281     154478.172      20170.742     -8.766      1.602      1.724      1.814      1.389      0.780       -2.63      -0.30      -1.75       3.81     477.30     164.00     -98.00      66.00      -6.00     -21.95      -0.83     -20.96       1.31      -0.26
2011 017 01 17 06 15 00  63462464100000.0     99    -272708.438     154294.078      19474.033     -7.647      1.439      1.907      0.833      0.700      0.265       -2.60      -1.78      -0.94       3.60     473.10     101.00     -42.00      59.00      -7.00     -22.10      -0.44     -20.93       1.32      -0.26
2011 017 01 17 06 20 00  63462464400000.0    100    -272875.375     154106.125      18785.213     -4.270      1.235      1.569      2.959      1.089      1.017       -2.35      -1.82      -1.40       3.46     475.20      85.00     -32.00      54.00      -8.00     -22.64      -0.66     -20.89       1.34      -0.26
2011 017 01 17 06 25 00  63462464700000.0     99    -273042.094     153914.250      18104.547     -1.356      2.206     -0.444      2.902      1.884      1.272       -2.77      -1.47      -1.04       3.69     473.90      65.00     -22.00      43.00      -9.00     -23.95      -0.49     -20.85       1.35      -0.26
2011 017 01 17 06 30 00  63462465000000.0    100    -273208.594     153718.500      17432.418     -9.690      2.013      0.772      0.779      1.053      1.010       -2.92      -1.45      -0.99       3.73     472.00      63.00     -34.00      30.00      -8.00     -23.15      -0.47     -20.82       1.36      -0.26
2011 017 01 17 06 35 00  63462465300000.0    100    -273375.656     153518.094      16765.877     -8.591      1.530      1.119      1.429      0.745      0.774       -2.47      -1.08      -2.15       3.74     474.50      81.00     -45.00      36.00      -8.00     -23.25      -1.02     -20.78       1.38      -0.26
2011 017 01 17 06 40 00  63462465600000.0     99    -273541.688     153314.875      16111.827     -5.605      0.726     -0.947      4.080      0.915      1.615       -2.88      -1.17      -1.48       3.34     474.80     151.00     -96.00      55.00      -8.00     -22.37      -0.70     -20.75       1.39      -0.26
2011 017 01 17 06 45 00  63462465900000.0    100    -273707.469     153108.094      15467.299     -4.981     -0.609     -0.726      4.194      0.990      1.948       -2.99      -1.33      -1.22       3.26     469.50     141.00     -80.00      61.00      -9.00     -22.80      -0.57     -20.71       1.41      -0.26
2011 017 01 17 06 50 00  63462466200000.0     99    -273873.000     152897.766      14832.547      2.339     -1.347      0.892      1.636      1.174      0.974       -3.13      -1.75      -0.54       3.01     463.70     116.00     -43.00      74.00      -8.00     -21.17      -0.25     -20.68       1.42      -0.26
2011 017 01 17 06 55 00  63462466500000.0    100    -274038.281     152683.984      14208.086     -0.303      0.460      0.244      1.016      0.860      0.874       -2.85      -2.03      -0.69       2.97     462.80     116.00     -35.00      81.00      -8.00     -21.05      -0.32     -20.64       1.44      -0.26
2011 017 01 17 07 00 00  63462466800000.0     99    -274203.344     152466.813      13593.944      3.769     -1.084      0.619      0.931      0.570      0.621       -2.43      -2.09      -0.85       3.09     467.00     105.00     -34.00      71.00      -8.00     -21.50      -0.40     -20.61       1.45      -0.26
2011 017 01 17 07 05 00  63462467100000.0    100    -274368.188     152246.375      12990.127     -0.216     -0.973      0.374      0.770      0.759      0.442       -1.98      -1.92      -2.06       2.94     471.90     102.00     -25.00      77.00      -7.00     -20.48      -0.97     -20.57       1.47      -0.26
2011 017 01 17 07 10 00  63462467400000.0    100    -274533.563     152021.609      12394.222     -1.189     -1.067      0.668      0.748      0.654      0.534       -2.73      -2.24      -0.55       2.79     464.60     135.00     -48.00      86.00      -7.00     -19.84      -0.26     -20.53       1.48      -0.26
2011 017 01 17 07 15 00  63462467700000.0     99    -274697.969     151794.781      11812.395     -3.096      0.381      0.907      1.210      0.519      0.571       -2.62      -2.42      -0.24       2.79     463.20     138.00     -59.00      79.00      -8.00     -20.58      -0.11     -20.50       1.50      -0.26
2011 017 01 17 07 20 00  63462468000000.0    100    -274862.156     151564.922      11241.929     -2.493      0.888      0.986      1.608      1.244      0.907       -2.58      -2.60       0.17       2.62     463.20     144.00     -67.00      77.00      -8.00     -20.16       0.08     -20.46       1.52      -0.26
2011 017 01 17 07 25 00  63462468300000.0     99    -275026.063     151332.234      10683.040     -2.706      1.052      1.123      2.183      0.907      1.051       -2.58      -2.72       0.12       2.38     462.00     120.00     -54.00      66.00      -9.00     -20.33       0.06     -20.42       1.54      -0.26
2011 017 01 17 07 30 00  63462468600000.0    100    -275189.750     151096.688      10135.928      3.596     -0.985      0.031      4.956      0.690      0.599       -2.98      -2.51      -0.05       2.17     464.70     118.00     -42.00      76.00     -10.00     -20.60      -0.02     -20.39       1.57      -0.25
2011 017 01 17 07 35 00  63462468900000.0     99    -275353.219     150858.453       9600.767      7.979     -1.372      1.478      0.229      0.229      0.646       -4.01      -1.59      -0.62       1.19     490.10     113.00     -35.00      78.00     -10.00     -17.81      -0.30     -20.35       1.59      -0.25
2011 017 01 17 07 40 00  63462469200000.0    100    -275516.438     150617.641       9077.771      7.641     -1.167      1.788      0.374      0.253      0.177       -4.16      -1.39      -0.76       1.20     487.80     157.00     -43.00     114.00     -12.00     -19.41      -0.37     -20.31       1.62      -0.25
